"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gorman, Nolan","669357","2024","402",37.6,8.5,".290",".312",40.3,16.7,38.6,"100.727790741","94.443953953",38.7,51
"Edwards, Xavier","669364","2024","303",17.2,10.9,".359",".297",37.6,1.8,24.3,"95.052217333","91.536547476",16.9,47.5
"Burger, Jake","669394","2024","579",25.9,5.4,".325",".337",32.4,12.3,46.8,"103.619986856","96.171144407",30.1,52.4
"Allen, Nick","669397","2024","105",19,4.8,".207",".225",25,1.3,17.5,"93.887057838","90.966985405",18.8,49.4
"Schmitt, Casey","669477","2024","113",22.1,3.5,".323",".310",31.3,8.4,36.1,"99.223205238","93.803955783",25,52.4
"Smith, Josh","669701","2024","592",20.4,7.8,".323",".304",33.7,3.7,37.1,"98.306997711","93.25999596",21.7,47.1
"Triolo, Jared","669707","2024","446",26.5,9.4,".275",".289",38.8,5.3,39.1,"99.388421871","93.892534424",27.4,47.7
"Hays, Austin","669720","2024","255",23.1,3.5,".303",".288",30.2,6.7,40.2,"100.415422697","94.347982429",29.1,54.4
"Call, Alex","669743","2024","113",16.8,10.6,".412",".320",28.7,5,32.5,"97.21422775","92.66518325",18.8,43.2
"Toglia, Michael","669911","2024","458",32.1,11.8,".329",".365",39.2,17.3,50.2,"102.673791797","96.069366471",34.9,45.1
"Lopez, Nicky","670032","2024","445",15.1,8.3,".275",".271",30,1.5,16.9,"94.065401402","91.042138226",19.4,48.5
"Raley, Luke","670042","2024","455",29.7,5.9,".339",".320",31.5,11,41.8,"101.696067615","95.042152538",34.5,51.8
"Mastrobuoni, Miles","670156","2024","106",16,6.6,".214",".303",32.9,2.4,31.7,"96.319052927","92.222572963",20.3,41.5
"Wallner, Matt","670242","2024","261",36.4,9.2,".385",".359",38.1,17.5,53.2,"104.61196127","96.920236746",38.4,47.8
"Alvarez, Yordan","670541","2024","635",15,10.9,".402",".414",35.4,14.5,49.7,"104.097105087","96.703519522",19.9,47.8
"Paredes, Isaac","670623","2024","641",16.4,11.9,".327",".308",37,4.5,27.1,"95.875582928","91.952619865",17.2,44.7
"Walls, Taylor","670764","2024","252",26.6,12.3,".245",".256",29.9,3.2,24,"95.086734605","91.544710263",25,45.1
"Friedl Jr., TJ","670770","2024","341",15.2,7.6,".305",".295",29.9,3.2,31.5,"96.990036","92.527458326",17.6,43.4
"Herrera, Iván","671056","2024","259",20.5,9.7,".351",".369",38.2,9,42.1,"100.658165843","94.599725311",24.8,43.6
"Casas, Triston","671213","2024","243",31.7,12.3,".342",".330",35.6,13.3,45.2,"101.435410588","95.112485926",32.2,44.5
"Ramos, Heliot","671218","2024","518",26.1,7.1,".339",".340",34.3,14.5,47.5,"102.620742924","95.895956716",28.7,50.3
"García, Luis","671277","2024","528",16.3,5.1,".328",".333",32.8,8,41.7,"100.167127696","94.249397672",21.3,51.7
"Freeman, Tyler","671289","2024","383",13.8,7.3,".283",".303",30.7,3.2,34.6,"98.573015071","93.423975986",16.2,46.9
"Butler, Lawrence","671732","2024","451",23.9,7.8,".345",".347",35.1,11,47.4,"101.824301046","95.302256275",26.8,47.7
"Harris II, Michael","671739","2024","470",20,4.9,".312",".345",33.5,10,47,"103.329018908","96.053474224",25,55.1
"Bailey, Patrick","672275","2024","448",22.3,8.7,".281",".321",37.9,5.5,43,"100.739347483","94.770639073",23.4,48.1
"Siani, Michael","672279","2024","334",27.5,6.3,".257",".241",32.6,2.3,22.6,"95.786961649","91.898789433",28.9,48.9
"Kelenic, Jarred","672284","2024","449",29.6,7.1,".294",".309",38.2,9.9,45.2,"100.297571631","94.504780603",33.3,49.9
"Arias, Gabriel","672356","2024","161",32.9,3.7,".263",".275",35.6,7.9,36.6,"101.274794118","94.824434059",37.8,60.9
"Kirk, Alejandro","672386","2024","386",13.2,9.1,".297",".324",34.6,6.7,40.9,"99.802023893","94.269440505",15.7,46.6
"Moreno, Gabriel","672515","2024","351",14.8,11.7,".325",".329",33.6,6.6,41,"99.887726484","94.221263359",18.5,41.2
"Garcia, Maikel","672580","2024","626",16.5,6.7,".270",".303",34.1,3.7,42.8,"100.050927426","94.39492241",15.5,43.4
"Lopez, Otto","672640","2024","434",17.3,5.8,".302",".316",30.4,5.1,38.9,"99.482984485","93.902266182",21.8,51.4
"Perdomo, Geraldo","672695","2024","388",14.9,9.3,".317",".280",28.9,3.1,25.8,"96.084793623","92.044093913",12,40.5
"Pérez, Wenceel","672761","2024","425",21.6,7.5,".299",".292",37.7,4.3,30.6,"97.264471429","92.757975085",20.9,46.1
"Sosa, Lenyn","672820","2024","369",20.9,3.3,".280",".321",42.2,6.1,41.2,"99.355197445","93.909530839",19.8,52.7
"Diaz, Yainer","673237","2024","619",17.3,3.9,".329",".340",35,7.6,47.5,"101.297056214","95.034359505",24,58.8
"Robert Jr., Luis","673357","2024","425",33.2,6.6,".285",".283",35.6,9.9,40.7,"101.232868968","94.886076944",36.1,53.1
"Kim, Ha-Seong","673490","2024","470",16.4,12.3,".308",".316",36.6,4.8,35.4,"98.621780994","93.412597329",15.9,38
"Suzuki, Seiya","673548","2024","585",27.4,10.8,".365",".348",38.8,11.5,49.2,"102.565369326","95.834191408",24.5,39.6
"Jung, Josh","673962","2024","188",25.5,4.3,".311",".296",38.2,9.9,39.7,"97.932886515","93.114510916",31.9,51.9
"Westburg, Jordan","676059","2024","447",21.7,4.9,".340",".355",37.4,11.8,46.1,"101.801873375","95.272487",29.2,51
"Noda, Ryan","676116","2024","111",33.3,12.6,".223",".254",23.7,5.1,33.9,"98.772266786","93.479950357",33.8,42.1
"DeLuca, Jonny","676356","2024","362",21.3,6.6,".269",".277",32.7,3.9,28,"96.24111608","92.14905868",24,53.8
"Velázquez, Nelson","676369","2024","230",26.5,8.3,".280",".307",29.9,8.8,38.1,"99.364038514","93.836443129",35.5,46.5
"Clement, Ernie","676391","2024","452",9.1,2.4,".297",".284",34.3,3.8,24.9,"95.659056327","91.830379974",14.3,57
"Burleson, Alec","676475","2024","595",12.8,5.9,".319",".329",34.3,6.5,41.7,"99.381927173","94.012155751",19.2,55.7
"Caballero, José","676609","2024","483",27.5,5.6,".277",".269",33.8,5.1,25.2,"96.196185563","92.133024917",28.6,50
"Meyers, Jake","676694","2024","513",22.8,6.8,".285",".308",34.8,6.8,37,"99.317270058","93.726741906",26.7,49.1
"McCormick, Chas","676801","2024","267",27,6.4,".257",".290",32.2,7.5,32.8,"97.920374118","93.001741775",30.9,53.2
"Schneider, Davis","676914","2024","454",31.7,10.4,".277",".297",38,12,38,"98.986742636","93.569243488",30.6,42.5
"Kjerstad, Heston","677008","2024","114",28.9,8.8,".327",".301",28.8,6.1,43.9,"100.595502727","94.562960909",31.1,55.6
"Rocchio, Brayan","677587","2024","442",20.4,10,".276",".277",36,4,22.3,"95.744136806","91.872068403",24.1,47.9
"Tena, José","677588","2024","168",24.4,4.2,".286",".302",30.8,8.3,49.2,"100.972500862","95.33151313",23.4,50.2
"Rodríguez, Julio","677594","2024","613",25.4,6.2,".321",".346",33.2,10.2,48.4,"103.553687536","96.325344116",30.9,54.3
"Duran, Ezequiel","677649","2024","285",22.1,4.9,".270",".253",28.2,3.4,35.9,"98.680111262","93.37676239",24.6,56.4
"Abreu, Wilyer","677800","2024","447",28,8.9,".336",".322",33.7,11.1,50.5,"101.945020507","95.552365543",29.5,48.1
"Jimenez, Leo","677870","2024","210",28.1,5.7,".308",".314",40.7,8.1,33.3,"97.300784098","92.763416942",27,46.3
"Alexander, Blaze","677942","2024","185",26.5,8.1,".298",".260",22.9,3.4,34.7,"98.808795","93.553851293",29.1,51.5
"Thomas, Alek","677950","2024","103",16.5,6.8,".262",".343",26.6,7.6,46.8,"101.335202632","95.041754868",25.1,49.2
"Witt Jr., Bobby","677951","2024","709",15,8,".410",".413",35.7,14.3,48.3,"103.972880446","96.499868141",22.3,51.2
"Meadows, Parker","678009","2024","298",25.5,8.4,".321",".301",34.7,7.7,32.3,"97.956970619","93.056795751",27,45.5
"Vargas, Miguel","678246","2024","237",24.1,10.5,".233",".260",28.9,4.6,26.3,"96.03557","92.025289013",21.6,44.6
"Mead, Curtis","678554","2024","132",22.7,4.5,".255",".282",36.6,4.3,36.6,"99.411624468","93.833557742",23.5,52.4
"Tovar, Ezequiel","678662","2024","695",28.8,3.3,".324",".289",38.5,9,39.8,"99.306485852","93.964016332",33.5,62.3
"Noel, Jhonkensy","678877","2024","198",31.8,6.6,".331",".325",30.8,14.5,36.8,"100.792552542","94.452483077",34.2,54.1
"Rafaela, Ceddanne","678882","2024","571",26.4,2.6,".286",".278",34.9,7.5,36.9,"98.205036294","93.166643181",32.9,61.9
"Rojas, Johan","679032","2024","363",19,3.6,".265",".253",22,2.5,27.4,"97.163679462","92.590351731",22.5,48.8
"Torkelson, Spencer","679529","2024","381",27.6,8.7,".295",".284",31.5,6.7,39.7,"99.687498067","94.009349451",26.6,46
"Loftin, Nick","679845","2024","171",14,11.1,".242",".284",30.7,3.1,26,"95.328331587","91.737416905",15.3,42.8
"Blanco, Dairon","680118","2024","132",24.2,6.1,".306",".282",26.7,7.8,37.8,"99.654640732","94.051881852",32.1,52.3
"Schuemann, Max","680474","2024","459",25.9,10.2,".281",".297",39.5,5.6,37.4,"97.729409209","93.097394065",28.1,42.5
"Palacios, Richie","680700","2024","316",21.2,14.2,".303",".324",36.4,3.5,30.3,"96.843483131","92.444278274",24.7,46.7
"Barger, Addison","680718","2024","225",26.7,6.2,".262",".292",32.9,8.7,38.3,"100.557905","94.503054898",27.4,46.3
"Kwan, Steven","680757","2024","540",9.4,9.8,".349",".334",38.5,2.6,23.7,"95.04543782","91.531639359",8,39.1
"Duran, Jarren","680776","2024","735",21.8,7.3,".357",".346",33.8,9.3,43.9,"101.928155512","95.341113209",24.8,48.3
"Jeffers, Ryan","680777","2024","465",20.2,6.9,".317",".305",31.7,8.3,33.8,"99.008221173","93.57098291",23.6,48.5
"Davis, Henry","680779","2024","122",36.9,10.7,".213",".224",29,4.8,35.5,"97.637210645","92.897598852",36.3,47
"Gelof, Zack","680869","2024","547",34.4,6.9,".276",".273",34.4,8.8,37.2,"98.970921935","93.611147032",36.4,51.5
"Donovan, Brendan","680977","2024","652",12.4,7.2,".332",".337",36.6,5.5,37.6,"98.552237391","93.418618597",14.6,44.2
"Stott, Bryson","681082","2024","571",16.3,9.3,".296",".309",35.3,3.6,30.8,"97.149266143","92.631038831",16.9,44.1
"Bride, Jonah","681146","2024","272",20.2,11,".351",".297",29.9,5.4,33.7,"97.444142826","92.857149348",16.7,38.2
"Cowser, Colton","681297","2024","561",30.7,9.3,".331",".331",32.1,13.6,46.1,"101.838992303","95.374243739",30.3,44.5
"O'Hoppe, Logan","681351","2024","522",29.7,6.3,".311",".337",42.9,12,46.3,"101.233350982","95.0870388",33.6,52
"Norby, Connor","681393","2024","194",33,7.7,".316",".318",47,14.8,39.1,"99.109980172","93.692715217",33.2,57.6
"Baldwin, Brooks","681460","2024","121",25.6,5,".249",".271",34.5,4.8,32.1,"96.86830625","92.495436709",24.9,57.5
"Carpenter, Kerry","681481","2024","296",25.3,7.4,".390",".385",40.1,17.7,46.4,"100.928032292","94.944129215",30.3,50.5
"Outman, James","681546","2024","156",35.3,10.3,".242",".279",38.3,4.9,38.3,"100.237923902","94.412729136",36.8,47.6
"Pages, Andy","681624","2024","443",24.4,6.5,".310",".326",40.8,10.7,40.1,"100.310081745","94.262423423",26.1,51
"Fry, David","681807","2024","392",21.4,10.7,".347",".328",36.9,7.5,37.6,"99.146678031","93.715471417",24.8,49.2
"Schneemann, Daniel","682177","2024","221",31.7,11.3,".295",".279",41.3,4.8,38.1,"98.405974921","93.326836825",31.7,49.1
"Marte, Noelvi","682622","2024","242",31,3.7,".243",".274",33.5,6.5,36.1,"98.631095256","93.351013935",32.1,54.1
"Alvarez, Francisco","682626","2024","342",25.1,8.8,".310",".291",27.2,6.7,42,"101.298215536","94.784205516",29.6,46.1
"Matos, Luis","682641","2024","156",15.4,3.2,".250",".270",29.1,3.9,37,"98.298414688","93.205182992",15.6,54.2
"Martínez, Angel","682657","2024","169",19.5,8.9,".282",".270",29.8,1.7,32.2,"96.829146271","92.477339068",19.5,48.6
"De La Cruz, Elly","682829","2024","696",31.3,9.9,".349",".331",35.7,12.7,45.7,"102.95535404","95.90272362",33.3,43.4
"Ramos, Bryan","682868","2024","108",20.4,6.5,".257",".287",35.9,6.4,46.2,"100.595616667","94.750177179",29,43.8
"Abrams, CJ","682928","2024","602",21.3,6.6,".322",".323",33,6.9,40.7,"99.496479615","93.910198048",24.7,53.3
"Greene, Riley","682985","2024","584",26.7,11,".355",".357",39.1,13.4,47.1,"102.088081676","95.54007409",26.8,44.3
"Carroll, Corbin","682998","2024","684",19,10.7,".325",".329",27.8,7.2,40.8,"101.055665665","94.755672366",20.3,41.4
"Henderson, Gunnar","683002","2024","719",22.1,10.8,".381",".379",34.5,11.2,53.9,"104.002332911","96.835723291",24.4,44.2
"Volpe, Anthony","683011","2024","689",22.6,6.1,".287",".280",33.3,3.9,35.4,"98.177841555","93.206482989",22.5,48.1
"Stefanic, Michael","683021","2024","124",16.1,8.1,".258",".253",24.2,1.1,26.4,"94.514950889","91.314226629",10.5,41.5
"Baty, Brett","683146","2024","171",24.6,9.4,".282",".280",27.7,5.4,33,"99.354530364","93.683074727",26.2,50.9
"Vaughn, Andrew","683734","2024","619",21.3,6.1,".304",".321",33.6,9.3,43.3,"100.921632928","94.702971332",22,49.4
"Busch, Michael","683737","2024","567",28.6,11.1,".336",".321",36.4,11.2,39.9,"99.992212321","94.370236478",28.4,45.2
"Frelick, Sal","686217","2024","524",14.9,7.4,".292",".277",30,0.8,19.5,"94.439757846","91.272403907",12.8,41.5
"Pasquantino, Vinnie","686469","2024","554",12.8,7.2,".325",".331",31.9,7.1,46.5,"100.997993151","94.970921142",14.5,47.8
"Canzone, Dominic","686527","2024","188",28.2,9.6,".280",".307",31.6,11.1,44.4,"101.759585593","95.324768718",34.4,52.2
"Dunn, Oliver","686554","2024","104",38.5,5.8,".266",".262",33.9,5.4,46.4,"100.995258519","94.782023333",36.2,44.3
"Crews, Dylan","686611","2024","132",19.7,8.3,".283",".325",23.4,6.4,44.7,"101.319603191","94.909751613",22.8,44.6
"Doyle, Brenton","686668","2024","603",25.4,7.6,".328",".333",37.4,10.5,41.4,"100.983223096","94.67619269",29.7,51.4
"Lee, Korey","686676","2024","394",31,4.3,".257",".259",34.1,7.5,37.6,"99.5141412","93.7992936",36.9,58.9
"Massey, Michael","686681","2024","356",15.7,4.2,".317",".312",34.4,7.1,36.9,"98.396031151","93.36810777",17.9,52
"Pagés, Pedro","686780","2024","218",26.6,6,".286",".275",32,4.8,40.4,"99.177856111","93.608837639",26.1,51
"Lee, Brooks","686797","2024","185",14.6,5.9,".252",".276",36.7,4.1,24.5,"95.626582877","91.813291438",20.2,52.3
"Brennan, Will","686823","2024","353",13.6,5.4,".303",".301",31.1,4.6,32.5,"97.132881418","92.582691388",18.1,54.8
"Grissom, Vaughn","687093","2024","114",21.1,6.1,".213",".288",41.5,4.9,32.9,"97.751728293","92.913035244",22.4,45.4
"Hernaiz, Darell","687231","2024","135",20,8.1,".230",".274",30.2,1,33.3,"97.671361702","92.890300968",24.9,46.5
"Neto, Zach","687263","2024","602",23.3,6.5,".330",".318",29,8.4,38.8,"100.130832864","94.28058907",27,48.9
"Scott II, Victor","687363","2024","155",27.1,3.9,".221",".250",33.3,5.7,33.3,"98.5566202","93.434588081",25.8,50.5
"Ortiz, Joey","687401","2024","511",20.2,11,".319",".307",26.6,4.6,38.4,"99.391509467","93.766433018",17,39.4
"Horwitz, Spencer","687462","2024","381",18.4,11,".344",".337",37.4,8,36.6,"98.212716794","93.175509618",19.4,46
"McCray, Grant","687529","2024","130",43.1,4.6,".266",".255",30.9,11.8,44.1,"101.84831875","95.365513125",43.6,53
"Beck, Jordan","687597","2024","184",35.3,6.5,".231",".269",32.1,6.6,32.1,"98.643486981","93.335075283",34.8,53.6
"Encarnacion-Strand, Christian","687952","2024","123",28.5,3.3,".223",".306",27.7,8.4,37.3,"99.937348049","94.262071341",29.4,55.9
"Wisely, Brett","689172","2024","272",23.9,4.8,".272",".260",29.7,5.2,31.6,"96.94857663","92.51248388",22.1,49.5
"Keith, Colt","690993","2024","556",19.8,6.5,".301",".313",34.6,5.6,35.3,"98.472613627","93.330372181",23.2,48.6
"Soderstrom, Tyler","691016","2024","213",24.9,9.4,".322",".348",31.4,14.6,49.6,"102.488225362","95.729746496",30.1,48.7
"Walker, Jordan","691023","2024","178",28.1,5.6,".268",".284",29.3,9.5,43.1,"101.753692241","95.20491069",31.6,49.6
"Winn, Masyn","691026","2024","637",17.1,6.4,".315",".296",33.5,3.7,32.7,"98.144268452","93.085870398",18.8,47
"Caminero, Junior","691406","2024","177",21.5,6.2,".309",".300",25.2,11.8,45.7,"102.966914286","95.641090317",31.7,47.7
"Crow-Armstrong, Pete","691718","2024","410",23.9,5.1,".289",".285",33.3,7.4,36.8,"98.797836565","93.630440766",29.5,60.7
"Gonzales, Nick","693304","2024","387",19.1,4.7,".307",".319",34.1,7.9,36.9,"98.826293958","93.505191185",24.9,56.2
"Chourio, Jackson","694192","2024","573",21.1,6.8,".339",".330",33.2,7.8,44.9,"100.832969557","94.831073407",27.1,48.8
"Kavadas, Niko","694359","2024","106",38.7,10.4,".278",".295",42.3,11.5,40.4,"100.778566538","94.892744038",34.1,39.1
"Schanuel, Nolan","694384","2024","607",17,11.2,".315",".322",36.4,3.5,25.4,"95.305191333","91.662606993",14.3,41.8
"Loperfido, Joey","694388","2024","262",36.3,5,".268",".256",40.7,4,34.7,"97.968544189","93.030415608",35.4,52.4
"Carter, Evan","694497","2024","162",26.5,9.3,".278",".282",33.3,5.9,32.4,"97.157820196","92.58927951",23.4,38.3
"Langford, Wyatt","694671","2024","557",20.6,9.2,".321",".333",31.3,9.3,43.4,"101.211098854","94.807365599",22.9,42.8
"Harris, Brett","695391","2024","123",20.3,13.8,".252",".278",26.6,5.1,36.7,"99.867260769","94.151668718",23.3,41
"Wood, James","695578","2024","336",28.9,11.6,".342",".351",31.3,10.6,52,"104.677013333","97.028448782",29.6,38.2
"Goodman, Hunter","696100","2024","224",28.6,3.6,".274",".282",32.9,12.8,39.6,"100.1496636","94.135665034",31.5,58
"Young, Jacob","696285","2024","521",19.6,5.8,".290",".290",28.1,1.6,28.9,"96.872142235","92.486924676",18.2,44.9
"Sweeney, Trey","700242","2024","119",26.9,5.9,".279",".301",27.8,8.9,46.8,"100.9056095","94.934800886",32.4,50.2
"Rice, Ben","700250","2024","178",27,11.2,".269",".336",34.9,15.6,36.7,"99.671896909","94.277701284",25.8,46
"Manzardo, Kyle","700932","2024","156",26.3,5.8,".303",".276",31.4,9.5,40,"99.627054528","94.056427333",27.6,46.7
"Merrill, Jackson","701538","2024","593",17,4.9,".352",".376",39.6,11.3,43.9,"100.811784978","94.735707484",20.5,56.9
"Lipscomb III, Trey","702358","2024","211",19,7.6,".231",".260",23,0.7,31.6,"97.923016133","92.984215",25.3,50.8
"Holliday, Jackson","702616","2024","208",33.2,7.2,".251",".262",27,8.2,45.1,"100.212039508","94.576202541",33.9,46.1
"Wilson Jr., Jacob","805779","2024","103",9.7,7.8,".281",".291",26.2,0,19,"94.500835238","91.295347952",12.7,49.6
"Yoshida, Masataka","807799","2024","421",12.4,6.4,".336",".324",36.3,5.5,37.5,"99.0909025","93.581912866",14.6,45.4
"Lee, Jung Hoo","808982","2024","158",8.2,6.3,".284",".324",29.1,4.5,41.8,"99.547595821","93.996025338",9.6,43.9